name,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,price
"5 Star, Luxury Victorian Townhouse. London. Awards",Wandsworth,51.46388,-0.21108,Entire home/apt,2,48,2024-08-12,1.25,7,247,20,651.0
LOADS OF OUTSIDE SPACE IN CENTRAL LONDON.,Camden,51.54105,-0.13592,Entire home/apt,1,1,2023-11-19,0.1,21,365,1,764.0
LONDON RETREAT WITH PATIO,Camden,51.54284,-0.13819,Entire home/apt,1,9,2023-11-19,0.21,21,365,2,693.0
Spectacular 2 Bedroom Apartment Prime Marylebone,Westminster,51.52287,-0.14228,Entire home/apt,6,0,,,6,0,0,530.0
Large 4 bedroom flat in the heart of Chelsea,Kensington and Chelsea,51.48406,-0.18696,Entire home/apt,6,0,,,3,90,0,1200.0
Riverside Mansions,Wandsworth,51.46595,-0.21756,Entire home/apt,1,3,2021-07-31,0.06,404,62,0,825.0
Chic Deluxe Room ❤ of Westminster☝10min→Buckingham Palace,Westminster,51.49647,-0.13203,Private room,3,0,,,2,180,0,1880.0
Nice Studio ☀10min→Buckingham Palace ❤ of Westminster,Westminster,51.49467,-0.13226,Entire home/apt,3,1,2020-11-04,0.02,2,180,0,1880.0
Covent Garden Extreme LUXXE Nomads HUGE Retreat,Westminster,51.51082,-0.12246,Entire home/apt,3,20,2024-09-01,0.37,2,122,13,456.0
4 Bed Female Dorm Shared Bathroom Lower Floor-18+,Westminster,51.48933,-0.13726,Shared room,1,107,2024-08-09,2.19,10,289,19,1000.0
Modern cosy light and clean Hackney Central Room,Hackney,51.54943,-0.05175,Private room,1,0,,,3,35,0,500.0
Exclusive artists space. Close to central london.,Lambeth,51.45444,-0.10321,Entire home/apt,1,0,,,1,178,0,843.0
Modern Family Flat close to Victoria Station,Westminster,51.49281,-0.14308,Entire home/apt,2,3,2020-12-13,0.06,1,89,0,800.0
Bright & Spacious Living at Kensington Gardens,Kensington and Chelsea,51.51009,-0.1881,Entire home/apt,4,48,2024-07-30,0.98,1,70,14,464.0
Covent Garden Penthouse & Terraces (3 Bedr Aircon),Camden,51.51720428466797,-0.1257189959287643,Entire home/apt,3,44,2024-08-07,1.62,1,320,19,925.0
Belgravia Mews - Impeccably Stylish Retro-Chic,Westminster,51.49629,-0.1533,Entire home/apt,5,14,2024-07-30,0.53,1,333,5,840.0
Park Lane Apartments - Shaw House - Two Bedroom,Westminster,51.50649,-0.14949,Entire home/apt,1,41,2024-04-10,0.84,24,360,11,546.0
Park Lane Apartments - Shaw House - Four Bedroom,Westminster,51.50645,-0.14893,Entire home/apt,1,52,2024-06-25,1.05,24,362,24,820.0
"Luxury Serviced Apartment, Staffed Reception, Two",Westminster,51.50486,-0.14892,Entire home/apt,3,2,2021-07-02,0.04,7,0,0,567.0
"Luxury Serviced Apartment, Staffed Reception, Two",Westminster,51.50657,-0.14751,Entire home/apt,3,0,,,7,0,0,567.0
"Luxury Serviced Apartment, Staffed Reception, Two",Westminster,51.50473,-0.14796,Entire home/apt,3,8,2021-11-09,0.21,7,0,0,648.0
Central New Refurb 4 Bed House 1 min to Hyde Park,Westminster,51.51163,-0.18543,Entire home/apt,4,22,2024-08-25,0.44,33,135,2,456.0
Weekly Discounts - 2Bed 2Bath Apartment w/ Parking,Camden,51.52130832287924,-0.1366050531917955,Entire home/apt,4,13,2023-04-15,0.26,4,0,0,422.0
Chic 2 bed flat Hyde Park,Westminster,51.5138,-0.17803,Entire home/apt,6,17,2021-02-19,0.34,13,179,0,474.0
Super big double in house share,Ealing,51.51322,-0.28875,Private room,30,0,,,53,365,0,900.0
Lovely modern house with games room on Ham Common,Richmond upon Thames,51.43578,-0.31051,Entire home/apt,3,18,2023-05-27,0.37,2,52,0,700.0
GuestReady - Modern En-Suite Flat - near Islington High Street,Islington,51.54195,-0.10232,Entire home/apt,22,12,2021-07-03,0.24,1,365,0,1005.0
Micro studio private small patio West Hampstead,Camden,51.54599,-0.19263,Entire home/apt,4,3,2024-05-01,0.06,125,121,1,1162.0
2-Bed Apartment in London Woolwich,Greenwich,51.48849,0.05281,Entire home/apt,1,0,,,32,364,0,1000.0
Test listing test in Woodford,Waltham Forest,51.6074,0.0187,Entire home/apt,1,0,,,1,365,0,1000.0
Huge bright apartment in the heart of Marylebone,Westminster,51.51962,-0.14889,Entire home/apt,14,0,,,1,88,0,1500.0
“Stunning house in Primrose Hill”,Camden,51.5383,-0.15488,Entire home/apt,4,8,2024-02-02,0.42,1,154,1,879.0
Townhouse with Garden in Central London,Camden,51.52722,-0.11675,Entire home/apt,4,31,2024-08-20,0.62,6,96,2,1229.0
Spacious 4 Bedroom House on Central & Quiet Street,Wandsworth,51.46553,-0.21654,Entire home/apt,3,52,2024-08-25,1.04,1,249,16,575.0
Homely Modern Apartment in South Kensington,Kensington and Chelsea,51.49415,-0.17599,Entire home/apt,3,33,2024-08-03,0.71,1,52,4,460.0
3BDR HOUSE - Isleworth,Hounslow,51.45939,-0.33409,Entire home/apt,7,0,,,3,365,0,500.0
Leicester Square 3BR Penthouse,Westminster,51.51101,-0.13083,Entire home/apt,1,43,2024-08-11,0.87,30,313,19,1170.0
"Old Street, London. Entire flat. 2 bed. min 3month",Hackney,51.5325,-0.08273,Entire home/apt,30,0,,,1,90,0,460.0
Bright New Flat,Barnet,51.59272,-0.24516,Entire home/apt,2,1,2020-09-14,0.02,1,180,0,480.0
"Incredible Leicester Sq 2BR - Terrace, Netflix & N",Westminster,51.51163,-0.12943,Entire home/apt,2,46,2024-08-13,0.94,14,322,21,570.0
Uncle Dudy's House,Merton,51.41751,-0.17204,Private room,1,0,,,1,365,0,980.0
Fashionable Notting Hill maisonette with garden,Westminster,51.51632,-0.19416,Entire home/apt,4,17,2024-05-14,0.37,1,263,2,500.0
Lovely Leicester Square 2BR - Netflix & Nespresso,Westminster,51.51087,-0.13208,Entire home/apt,1,52,2024-01-25,1.07,14,327,11,418.0
"Super modern, 2 Bed, Lift, 24 Hr Reception, AirCon",Westminster,51.51425,-0.18111,Entire home/apt,7,0,,,126,78,0,432.0
Lovely One Bedroom Flat Close To Central Of London,Brent,51.5349,-0.19247,Entire home/apt,1,0,,,1,365,0,420.0
"Great Location, modern decorated, a unique space",Westminster,51.53641,-0.17853,Entire home/apt,3,20,2024-01-08,0.42,2,158,4,450.0
Ivy | Danvers Street | Pro-Managed,Kensington and Chelsea,51.48332977294922,-0.1726049929857254,Entire home/apt,14,0,,,77,347,0,510.0
Designers Notting Hill Home with Private Terrace,Westminster,51.51636,-0.19231,Entire home/apt,1,44,2024-08-13,1.41,1,192,15,475.0
luxury2 bedrooms appt in central London  4 guests,Wandsworth,51.48349,-0.14924,Entire home/apt,2,29,2024-07-14,0.83,1,274,4,450.0
Plush Hollywood Regency Flat in Mayfair W1,Westminster,51.50752639770508,-0.1478540003299713,Entire home/apt,3,45,2024-07-11,0.96,8,6,17,559.0
The Belgravia Suite next to Sloane Square,Kensington and Chelsea,51.49077,-0.15578,Entire home/apt,2,6,2023-10-31,0.15,9,67,1,414.0
The Ebury Suite next to Sloane Square,Kensington and Chelsea,51.49265,-0.15732,Entire home/apt,2,18,2024-06-28,0.38,9,85,3,434.0
Great Private Room In A Cozy Apartment,Tower Hamlets,51.51433,-0.05456,Private room,1,2,2021-02-28,0.04,11,365,0,785.0
Stunning 2700 sq f 4Br penthouse off Regent’s park,Westminster,51.52171764835333,-0.149403253291275,Entire home/apt,5,27,2023-04-24,0.65,4,9,0,593.0
Stylish Apartment with Patio in Central London,Westminster,51.51105,-0.18027,Entire home/apt,4,29,2024-08-02,0.69,6,187,13,463.0
Unique Central London MEWS HOUSE in W1 w/ Terrace,Westminster,51.51937,-0.14839,Entire home/apt,2,38,2024-08-25,0.8,1,87,30,800.0
Luxury 2 Terrace Flat in Knightsbridge,Kensington and Chelsea,51.49551186106235,-0.1745845003716439,Entire home/apt,2,0,,,1,179,0,750.0
"Park Lane,Mayfair. New Ultra Modern Spacious House",Westminster,51.5048,-0.14763,Entire home/apt,4,144,2024-08-19,3.15,1,244,42,790.0
"Luxury, Large Family Apartment with 24hr reception",Westminster,51.51553,-0.18187,Entire home/apt,3,6,2023-04-11,0.13,126,127,0,697.0
3 Bedroom Penthouse with Amazing Views of London,Southwark,51.49649,-0.09875,Entire home/apt,4,73,2024-08-18,1.73,14,176,9,714.0
Luxury apartment with balcony in Hayes.,Hillingdon,51.50365,-0.41852,Entire home/apt,365,0,,,2,362,0,1000.0
Room from Dec tiill end of Jan in Upper Clapton,Hackney,51.55171,-0.0553,Private room,60,0,,,3,180,0,800.0
"Spacious 4-bed in Balham, near Tube",Wandsworth,51.4444,-0.15845,Entire home/apt,3,130,2024-08-20,2.79,4,104,48,441.0
3 Bedroom in the Heart of West End,Camden,51.51525,-0.12668,Entire home/apt,4,47,2024-08-15,1.09,72,327,11,498.0
Modern Mayfair Apartment,Westminster,51.51206,-0.14537,Entire home/apt,2,0,,,16,365,0,539.0
To rent whilst away,Wandsworth,51.4607,-0.17898,Entire home/apt,100,0,,,3,365,0,1000.0
Best roof terrace in London; luxury Victorian home,Islington,51.53731,-0.11552,Entire home/apt,1,1,2022-07-04,0.04,21,365,0,2500.0
"One Bedroom Apartment, Kitchen, avg size 55.6msq",City of London,51.51047,-0.07528,Entire home/apt,1,24,2024-08-19,0.53,9,359,2,462.0
Hotel tank,Wandsworth,51.4593,-0.17895,Entire home/apt,100,0,,,3,365,0,1000.0
Get a Great Nights Sleep,Wandsworth,51.45881,-0.18034,Entire home/apt,100,0,,,3,180,0,1000.0
"Large 2 Bed, 2 Bath Flat  BY Urban Chic",Westminster,51.51671,-0.13363,Entire home/apt,3,7,2022-04-17,0.17,126,110,0,575.0
"Signature Suite, Kitchen, Tower View avg 54msq.",City of London,51.51047,-0.07528,Entire home/apt,1,12,2021-10-10,0.27,9,359,0,562.0
"Large, Modern 2 Bed, 2 Bath Flat -Amazing Location",Westminster,51.51684,-0.13482,Entire home/apt,3,5,2021-12-11,0.11,126,130,0,575.0
"Large 2 Bed, 2 Bath Flat with lift by Urban Chic",Westminster,51.51033,-0.13302,Entire home/apt,3,8,2022-07-29,0.18,126,111,0,478.0
Beautiful 2 Bed 2 Bath with Lift by Urban Chic,Westminster,51.51113,-0.13368,Entire home/apt,3,10,2023-11-10,0.24,126,119,3,478.0
"Amazing Penthouse - 3 Bed, 2 Bath, Balcony, Lift",Westminster,51.51237,-0.13325,Entire home/apt,3,16,2024-06-02,0.39,126,102,9,627.0
Luxury Two Bedroom Apartment - The Residence,Tower Hamlets,51.515099,-0.068772,Entire home/apt,1,7,2023-10-29,0.17,9,214,1,836.0
Luxury Skyline One Bedroom Apartment,Tower Hamlets,51.515099,-0.068772,Entire home/apt,1,32,2023-04-15,0.74,9,365,0,490.0
Battersea 2 Bed,Wandsworth,51.47806,-0.14882,Entire home/apt,2,0,,,1,88,0,1000.0
Stunning Islington House with Beautiful Garden,Hackney,51.54170608520508,-0.079254999756813,Entire home/apt,2,8,2024-07-12,0.46,37,289,5,495.0
Mayfair Central London,Westminster,51.50692,-0.15039,Entire home/apt,2,16,2024-06-22,0.48,1,362,3,571.0
An Amazing Two Bed Penthouse with Terrace,Westminster,51.51821,-0.13559,Entire home/apt,3,14,2024-02-24,0.31,126,59,2,847.0
Stunning 5 bed Fulham home w/ indoor pool & sauna,Hammersmith and Fulham,51.4788431,-0.2173843,Entire home/apt,5,5,2024-03-06,0.12,52,121,2,1708.0
Kula Garrick Street - Classic Two Bed Apartment,Westminster,51.51162338256836,-0.1268569976091385,Entire home/apt,1,67,2024-08-20,1.48,28,226,17,427.0
Central Chelsea spacious home,Kensington and Chelsea,51.49005,-0.17043,Entire home/apt,1,12,2024-08-24,1.16,1,342,12,456.0
"3 Bed Family Home, PARKING and Large South Garden",Brent,51.55349,-0.23846,Entire home/apt,90,0,,,2,358,0,1580.0
"GuestReady- Spacious, Private Maisonette, Zone 2 next to Kings College Hosp",Southwark,51.47395,-0.09555,Entire home/apt,22,9,2021-07-10,0.21,36,36,0,996.0
Stunning Knightsbridge Flat,Kensington and Chelsea,51.49765,-0.16146,Entire home/apt,5,0,,,2,178,0,830.0
Beautiful 2 BR flat in Kilburn with free parking,Camden,51.55082,-0.2071,Entire home/apt,60,0,,,1,173,0,6000.0
Little Gem too minutes from Central London,Westminster,51.52589,-0.1949,Entire home/apt,100,17,2023-05-31,0.39,4,358,0,1800.0
"En-suite, single, loower floow, great location",Lewisham,51.47575,-0.03416,Private room,30,0,,,1,90,0,1000.0
Space of heaven in the middle of London,Westminster,51.53817,-0.18043,Entire home/apt,2,26,2024-07-03,0.76,2,344,9,450.0
60a Apartment @ The Somers Town Coffee House,Camden,51.53019,-0.13102,Entire home/apt,1,249,2024-08-23,6.06,1,225,68,523.0
Semi-detached mews house in Knightsbridge.,Westminster,51.50102,-0.16533,Entire home/apt,90,0,,,1,365,0,7000.0
1 bedroom with toilet and shower,Redbridge,51.60828,0.14107,Private room,28,0,,,1,178,0,800.0
Talbot Road VI by onefinestay,Westminster,51.51724,-0.19458,Entire home/apt,5,0,,,210,114,0,832.0
Stunning Townhouse in Chelsea London,Kensington and Chelsea,51.4826,-0.17711,Entire home/apt,4,3,2023-07-22,0.12,1,170,0,550.0
Luxurious 3-bed apartment in the heart of London,Westminster,51.49985,-0.15059,Entire home/apt,7,6,2024-07-22,0.15,3,72,5,500.0
Modern 2 Bed flat with private Terrace -Urban Chic,Westminster,51.51685,-0.13477,Entire home/apt,2,17,2024-05-11,0.61,84,85,3,508.0
3 Bedroom Penthouse with Lift by Urban Chic,Westminster,51.51197,-0.13182,Entire home/apt,2,31,2024-07-14,0.89,84,79,12,813.0
London Victorian Whole House-GREENWICH/ O2,Greenwich,51.48652,0.01322,Entire home/apt,3,60,2024-08-26,1.66,2,313,19,464.0
This is my house,Havering,51.52656,0.19019,Entire home/apt,28,0,,,1,88,0,500.0
Stunning 5 Bed House NW London Kensal Rise Area,Brent,51.5450649,-0.2335683,Entire home/apt,2,4,2024-08-18,0.51,1,257,4,600.0
Large Luxury Hyde Park Apartment with Balcony,Westminster,51.51289,-0.18022,Entire home/apt,4,41,2024-08-09,1.31,6,259,19,479.0
Stunning 117 SqM Apartment with 24 Hour and A/C,Westminster,51.5159,-0.18028,Entire home/apt,3,2,2022-05-09,0.05,126,130,0,697.0
Cresswell Gardens IV by onefinestay,Kensington and Chelsea,51.48937,-0.1847,Entire home/apt,5,0,,,210,67,0,574.0
Newly renovated luxury Mayfair flat,Westminster,51.50736,-0.14705,Entire home/apt,2,4,2023-12-15,0.15,1,76,1,500.0
Modern London Apartment with City Views,Southwark,51.50275,-0.10304,Entire home/apt,7,3,2023-07-13,0.07,1,87,0,490.0
Contemporary Penthouse with Terrace in Fitzrovia,Westminster,51.5187,-0.13552,Entire home/apt,2,30,2024-02-13,0.74,84,6,5,700.0
Penthouse Apartment in heart of Fitzrovia,Westminster,51.51667,-0.13336,Entire home/apt,2,17,2024-08-18,0.49,84,85,5,506.0
Spacious Two Bedroom Apartment,Westminster,51.51668,-0.13495,Entire home/apt,2,18,2024-03-31,0.49,84,85,2,539.0
2 Bedroom 2 Bathroom Modern Apartment,Camden,51.51814,-0.13332,Entire home/apt,2,16,2024-08-19,0.47,84,85,5,539.0
Bright & Spacious 2 Bedroom Apartment,Westminster,51.51032,-0.13304,Entire home/apt,2,11,2024-04-01,0.33,84,85,4,521.0
Elegant Two Bedroom Apartment in Central London,Westminster,51.51226,-0.13206,Entire home/apt,2,6,2024-07-13,0.18,84,85,5,521.0
Premier location for a london city-break,Kensington and Chelsea,51.49508,-0.16781,Entire home/apt,5,25,2024-08-12,0.63,6,274,21,652.0
The Pug Apartment - Hyde Park Views,Westminster,51.50219,-0.18053,Entire home/apt,1,1,2023-07-16,0.07,12,171,0,674.0
The Kensington Gardens - Hyde Park Views,Westminster,51.50201,-0.18271,Entire home/apt,1,3,2023-10-24,0.08,12,164,1,674.0
The Chic Apartment,Kensington and Chelsea,51.50007,-0.18021,Entire home/apt,1,10,2024-06-05,0.31,12,147,4,674.0
The Theodore Suite,Kensington and Chelsea,51.50038,-0.18053,Entire home/apt,1,16,2024-06-24,0.4,12,146,7,764.0
The Serpentine Apartment,Westminster,51.50209,-0.18047,Entire home/apt,1,3,2023-11-23,0.1,12,177,1,793.0
The Four Bedroom Loft,Kensington and Chelsea,51.49992,-0.18271,Entire home/apt,1,12,2024-06-02,0.4,12,152,3,1072.0
The Ocean View Apartment,Greenwich,51.49391,0.06878,Entire home/apt,2,1,2021-05-05,0.02,4,364,0,500.0
"Air conditioned, great location to explore London",Hammersmith and Fulham,51.477524,-0.191206,Entire home/apt,3,2,2022-08-23,0.06,1,173,0,2500.0
Mews of Dreams - 2 Bedroom private house,Kensington and Chelsea,51.515619476873695,-0.2159132825717305,Entire home/apt,3,55,2024-03-27,1.36,14,24,18,447.0
Handsome Kensington apartment with chic patio,Kensington and Chelsea,51.49454,-0.1792,Entire home/apt,2,69,2024-08-21,1.76,2,12,27,418.0
The Royal Albert Memorial,Kensington and Chelsea,51.50022,-0.18192,Entire home/apt,1,1,2022-04-18,0.03,12,185,0,764.0
The Buckingham & Lloyds Apartment,Westminster,51.50179,-0.18277,Entire home/apt,1,10,2023-10-06,0.32,12,166,2,949.0
Standard Double room - London House Hotel***,Westminster,51.513954,-0.189468,Private room,1,372,2024-08-22,9.27,25,350,45,568.0
Stunning Georgian abode close to King’s cross,Islington,51.52732,-0.11307,Entire home/apt,2,70,2024-05-10,1.96,1,286,9,1071.0
Wow space | 5 bed | mins to tube + FREE breakfast|,Haringey,51.59411,-0.09692,Entire home/apt,5,42,2023-07-09,1.11,5,261,0,912.0
Charming LDN Garden Flat >major attractions nearby,Westminster,51.48912,-0.13868,Entire home/apt,3,0,,,1,363,0,1189.0
Expansive & Modern Duplex Apartment in Bloomsbury,Camden,51.5219935,-0.1143543,Entire home/apt,2,11,2024-08-25,0.28,36,284,4,452.0
UNIQUE Bohemian Mansion Near Sights & Transport,Lewisham,51.46679,-0.02075,Entire home/apt,30,1,2022-09-01,0.04,4,358,0,595.0
10 bed London townhouse available for New Year,Lambeth,51.47,-0.13272,Entire home/apt,7,1,2022-07-31,0.04,1,358,0,949.0
The Garden Apartment,Kensington and Chelsea,51.50044,-0.18032,Entire home/apt,1,2,2024-03-15,0.08,12,162,1,764.0
The Hyde Park Terrace,Kensington and Chelsea,51.5,-0.18058,Entire home/apt,1,5,2024-05-22,0.17,12,153,3,883.0
Islington Townhouse with Large Garden,Islington,51.54199329484857,-0.1142343426130173,Entire home/apt,4,9,2024-07-31,0.62,1,325,6,614.0
Spectacular Georgian Townhouse in Central London,Islington,51.54156,-0.1052,Entire home/apt,2,29,2024-07-26,0.79,1,61,7,657.0
Wilde Aparthotels Superior Studio,Westminster,51.50914,-0.12137,Private room,1,0,,,2,226,0,483.0
Contemporary style moments from Tower Bridge,City of London,51.51182,-0.07405,Entire home/apt,4,7,2022-04-14,0.18,2,365,0,5000.0
Luxurious 6000 sqft on Park Lane.,Westminster,51.510452,-0.156349,Entire home/apt,4,2,2022-06-30,0.07,1,90,0,3000.0
Expansive & Luxurious Lincoln's Inn Apartment,Camden,51.51560592651367,-0.1178200021386146,Entire home/apt,2,17,2024-01-13,0.42,37,292,1,601.0
"LUXURIOUS apartment, Balcony, UBER CHIC, BATTERSEA",Lambeth,51.46677,-0.14994,Entire home/apt,1,0,,,1,365,0,1000.0
"2 Bed, 2 Bath Serviced Apartment with Lift & A/C",Westminster,51.51471,-0.18183,Entire home/apt,3,2,2022-05-30,0.05,126,87,0,434.0
Warwick Gardens II by onefinestay,Kensington and Chelsea,51.49535,-0.20111,Entire home/apt,1,0,,,210,2,0,1974.0
First Street III by onefinestay,Kensington and Chelsea,51.49356,-0.1649,Entire home/apt,5,1,2021-08-24,0.03,210,76,0,3036.0
Stunning townhouse in the heart of Wandsworth,Wandsworth,51.45731,-0.18936,Entire home/apt,3,15,2024-06-14,0.39,1,201,3,795.0
Family 4-Bed House & Secluded Garden - Wimbledon,Merton,51.41908,-0.20073,Entire home/apt,1,10,2024-07-12,0.26,32,355,2,738.0
Modern 3 bed flat with a large garden in Chelsea,Kensington and Chelsea,51.48753,-0.18645,Entire home/apt,4,19,2024-08-29,0.76,1,93,12,450.0
1 Bedroom Apartment at Cromwell Road,Kensington and Chelsea,51.49634,-0.18419,Entire home/apt,1,5,2021-07-17,0.13,1,365,0,2500.0
Light&spacious -3 bedroom flat South Wimbledon,Merton,51.41667,-0.19462,Entire home/apt,2,2,2023-07-12,0.08,1,363,0,800.0
Stylish Lincoln's Inn Apartment with Outdoor Space,Camden,51.51695251464844,-0.1170440018177032,Entire home/apt,2,13,2024-04-09,0.48,37,288,3,459.0
Stylish and elegant flat in a Victorian Building,Haringey,51.59922514264301,-0.0983975576721252,Entire home/apt,1,8,2023-10-07,0.51,1,365,1,700.0
Large Two bed serviced apartment with A/C & Lift,Westminster,51.51452,-0.17994,Entire home/apt,3,4,2022-10-17,0.12,126,84,0,432.0
Stylish Two bed serviced apartment with A/C & Lift,Westminster,51.51617,-0.1813,Entire home/apt,3,1,2022-04-17,0.03,126,75,0,434.0
Luxurious 2 bed with balcony Lift & A/C,Westminster,51.51612,-0.18049,Entire home/apt,3,3,2023-04-30,0.11,126,70,0,537.0
Deluxe 3 Bed serviced apartment with AC & Lift,Westminster,51.51602,-0.18104,Entire home/apt,3,2,2024-03-10,0.13,126,75,1,697.0
6 bedroom 6 bathroom house airport in doorstep,Hillingdon,51.48152,-0.47279,Entire home/apt,1,2,2021-07-25,0.05,59,365,0,1000.0
Oxford Street luxury 2 bedroom serviced apartment,Westminster,51.51481824820806,-0.1480623388362885,Entire home/apt,28,7,2024-06-04,0.3,125,79,3,591.0
Oxford Street luxury 3 bedroom serviced apartment,Westminster,51.51481824820806,-0.1480623388362885,Entire home/apt,28,11,2024-04-10,0.31,125,53,6,636.0
Beautiful 1-Bedroom Apartment overlooking Gardens,Camden,51.52523,-0.1155,Entire home/apt,1,11,2024-08-06,0.7,3,169,10,1710.0
"Safe and clean place, central location to access.",Westminster,51.52688,-0.19474,Private room,2,0,,,1,87,0,490.0
Stylish 2 bed Belgravia flat in Elizabeth Street,Westminster,51.49413,-0.15153,Entire home/apt,3,34,2024-06-18,0.93,30,126,4,555.0
Wimbledon Garden Classic,Merton,51.42601,-0.23239,Entire home/apt,1,1,2021-12-14,0.03,404,62,0,1130.0
Glorious late Edwardian home 1 minute from station,Lewisham,51.43317,-0.01729,Entire home/apt,2,3,2023-03-01,0.08,7,177,0,950.0
Beautiful & luxurious 6 bedroom home in London,Greenwich,51.43498,0.06814,Entire home/apt,5,43,2024-08-18,1.16,1,359,12,679.0
Lovely 2-bedroom flat in a Quiet area,Enfield,51.66,-0.09447,Entire home/apt,7,0,,,1,365,0,2000.0
Double room in heart of Hackney (females only),Hackney,51.54787,-0.05681,Private room,3,9,2024-05-08,0.24,2,90,2,1554.0
"Luxury 10,000 Sq Ft 7-Bed Mansion with Indoor Pool",Bexley,51.42466,0.11827,Entire home/apt,2,9,2024-08-15,0.59,1,325,6,1211.0
"Entire 2 Bedroom Apartment with Balcony, Near Tube",Tower Hamlets,51.52076,-0.05649,Entire home/apt,180,0,,,1,365,0,500.0
Luxury & Spacious 3BDR Property In Fitzrovia,Westminster,51.51927,-0.14026,Entire home/apt,5,30,2024-08-08,0.81,11,79,8,440.0
Amazing Penthouse  50 steps from Harrods,Kensington and Chelsea,51.49857,-0.15973,Entire home/apt,7,23,2023-01-23,0.68,1,0,0,499.0
3 bedroom Air-conditioned Shoreditch Apartment,Hackney,51.52507,-0.07831,Entire home/apt,2,29,2024-09-01,1.21,11,321,13,523.0
Romantic Getaway in the Heart of London,Westminster,51.51302,-0.16045,Entire home/apt,7,0,,,57,12,0,575.0
Lancaster Gate House,Westminster,51.51203,-0.17717,Entire home/apt,7,5,2023-04-10,0.14,1,365,0,650.0
Sublime London Penthouse,Brent,51.55903,-0.22377,Entire home/apt,7,1,2023-07-15,0.07,2,87,0,750.0
Super modern flat with SUPER WIFI,Westminster,51.51701,-0.13361,Entire home/apt,21,2,2022-06-18,0.06,126,90,0,573.0
Large luxury property the heart of Marylebone,Westminster,51.51952,-0.15497,Entire home/apt,28,0,,,126,35,0,495.0
Chic Retreat between the Commons,Wandsworth,51.4522,-0.16276,Entire home/apt,1,1,2021-09-25,0.03,404,62,0,426.0
Premier Designer Flat with AirCon & 24H Concierge,Westminster,51.51308,-0.13899,Entire home/apt,4,18,2024-08-31,0.62,1,83,8,864.0
Luxury Home SPA jacuzzi sauna EXCEL Canary Wharf 6,Tower Hamlets,51.49388,-0.02591,Entire home/apt,3,17,2024-05-17,0.53,3,88,1,450.0
Single room,Redbridge,51.54923861587827,0.0741205136282697,Private room,1,0,,,1,364,0,5000.0
Sussex Gardens III by onefinestay,Westminster,51.51406,-0.17336,Entire home/apt,5,1,2022-04-03,0.03,210,30,0,1190.0
Red Lion Square by onefinestay,Camden,51.51945,-0.11768,Entire home/apt,5,1,2023-08-13,0.08,210,296,0,693.0
Modern & Spacious Penthouse in North London,Barnet,51.56564,-0.22423,Private room,1,1,2021-09-26,0.03,8,178,0,634.0
"Beautiful 4 Beds, 20 mins to London, 1GB Internet",Wandsworth,51.42996,-0.1637,Private room,2,1,2024-07-07,0.48,6,359,1,439.0
Oxford St Duplex - Netflix & Nespresso,Westminster,51.51973,-0.14146,Entire home/apt,1,36,2024-08-03,0.98,30,332,17,884.0
Affordable Spacious  Room on the edge of the city,Newham,51.54111315191066,0.0403104047666887,Private room,2,0,,,2,363,0,6000.0
Majestic home with Beautiful Garden in North West London by UnderTheDoormat,Brent,51.53356,-0.22702,Entire home/apt,3,0,,,127,197,0,617.0
Elegant 3BD Apartment in Earls Court,Kensington and Chelsea,51.49359,-0.19148,Entire home/apt,3,13,2024-04-05,0.36,7,310,2,563.0
"2 Bedroom Penthouse, Views of Canary Wharf and O2",Newham,51.50789,0.01478,Entire home/apt,1,5,2021-10-25,0.14,1,363,0,850.0
Large 200 SqM Townhouse- Near Imperial War Museum,Lambeth,51.50250185023268,-0.1119627134697301,Entire home/apt,2,41,2024-08-18,1.4,1,252,11,1500.0
Gorgeous Riverside London Townhouse,Wandsworth,51.44349,-0.19108,Entire home/apt,3,0,,,1,209,0,750.0
Ultra Prime Townhouse Paddington Sleeps 10,Westminster,51.51788,-0.1711,Entire home/apt,6,18,2024-04-30,0.62,7,253,3,824.0
South Kensington Luxury 3 Bed Apartment - Terrace,Kensington and Chelsea,51.50038,-0.18169,Entire home/apt,1,4,2024-04-28,0.15,24,183,1,965.0
Knightsbridge Three Bedroom Penthouse with Terrace,Westminster,51.49657,-0.15541,Entire home/apt,1,4,2024-06-30,0.14,17,179,1,1174.0
Knightsbridge Executive Two Bedroom Apartment,Kensington and Chelsea,51.49826,-0.163,Entire home/apt,1,0,,,21,199,0,775.0
Little Venice on the water,Westminster,51.52104484503767,-0.1838171482086181,Entire home/apt,2,70,2024-08-04,1.93,5,191,12,835.0
Newly renovated two bed in Covent Garden,Camden,51.51604,-0.12201,Entire home/apt,3,9,2024-08-09,0.26,36,282,3,564.0
Modern & Luxurious Duplex Apartment in Bloomsbury,Camden,51.52152521377915,-0.1134502982414245,Entire home/apt,2,11,2023-06-22,0.37,37,294,0,442.0
Spacious 3 bedroom flat in the heart of London,Westminster,51.51572,-0.16442,Entire home/apt,1,39,2024-08-06,1.05,48,90,2,479.0
Huge 3 bedroom in front of the harrods,Kensington and Chelsea,51.49984,-0.16289,Entire home/apt,6,2,2022-06-18,0.06,32,365,0,700.0
